"name";"id_in_source"
"Ambrosia artemisiifolia L.";"29000"
"Ambrosia psilostachya DC.";"29200"
"Ambrosia trifida L.";"29230"
"Amelanchier lamarckii F. G. Schroed.";"29260"
"Amelanchier ovalis Medik.";"29300"
"Ammi majus L.";"29400"
"Ammi visnaga (L.) Lam.";"29450"
"Amorpha fruticosa L.";"29500"
"Androsace alpina (L.) Lam.";"31300"
"Amsinckia lycopsoides Lehm.";"29550"
"Anacamptis pyramidalis (L.) Rich.";"29600"
"Anagallis arvensis L.";"29700"
"Androsace pubescens DC.";"32600"
"Anagallis foemina Mill.";"29900"
"Anagallis minima (L.) E. H. L. Krause";"30000"
"Anaphalis margaritacea (L.) Benth.";"30150"
"Anchusa arvensis (L.) M. Bieb.";"30300"
"Anchusa italica Retz.";"30600"
"Anchusa ochroleuca M. Bieb.";"30700"
"Anchusa officinalis L.";"30800"
"Androsace brevis (Hegetschw.) Ces.";"31400"
"Androsace carnea aggr.";"31600"
"Androsace chamaejasme Wulfen";"31800"
"Androsace hausmannii Leyb.";"32000"
"Androsace helvetica (L.) All.";"32100"
"Androsace lactea L.";"32200"
"Androsace maxima L.";"32300"
"Androsace obtusifolia All.";"32400"
"Androsace septentrionalis L.";"32800"
"Androsace vandellii (Turra) Chiov.";"32900"
"Androsace villosa L.";"33000"
"Androsace vitaliana (L.) Lapeyr.";"33100"
"Anemone apennina L.";"33250"
"Anemone baldensis L.";"33300"
"Anemone blanda Schott & Kotschy";"33350"
"Anemone hupehensis (Lemoine) Lemoine";"33370"
"Anemone narcissiflora L.";"33400"
"Anemone nemorosa L.";"33600"
"Anemone ranunculoides L.";"33700"
"Anemone sylvestris L.";"33800"
"Anemone trifolia L.";"33850"
"Anethum graveolens L.";"33900"
"Angelica pyrenaea (L.) Spreng.";"34000"
"Angelica sylvestris L.";"34100"
"Anogramma leptophylla (L.) Link";"34200"
"Antennaria carpatica (Wahlenb.) Bluff & Fingerh.";"34300"
"Antennaria dioica (L.) Gaertn.";"34400"
"Anthemis altissima L.";"34500"
"Anthemis arvensis L.";"34600"
"Aquilegia alpina L.";"38800"
"Anthemis austriaca Jacq.";"34700"
"Anthemis cotula L.";"34800"
"Anthemis tinctoria L.";"34900"
"Anthemis triumfettii (L.) DC.";"35000"
"Anthericum liliago L.";"35100"
"Anthericum ramosum L.";"35200"
"Anthoxanthum aristatum Boiss.";"35350"
"Anthoxanthum odoratum aggr.";"35500"
"Anthriscus caucalis M. Bieb.";"35600"
"Anthriscus cerefolium (L.) Hoffm.";"35700"
"Anthriscus nitida (Wahlenb.) Hazsl.";"35800"
"Anthriscus sylvestris (L.) Hoffm.";"35900"
"Anthyllis montana L.";"36395"
"Anthyllis vulneraria L.";"36790"
"Antirrhinum latifolium Mill.";"37500"
"Antirrhinum majus L.";"37600"
"Apera interrupta (L.) P. Beauv.";"37800"
"Apera spica-venti (L.) P. Beauv.";"37900"
"Aphanes arvensis L.";"38000"
"Aphanes australis Rydb.";"38050"
"Aphyllanthes monspeliensis L.";"38300"
"Apios americana Medik.";"38350"
"Apium graveolens L.";"38400"
"Apium nodiflorum (L.) Lag.";"38500"
"Apium repens (Jacq.) Lag.";"38600"
"Aposeris foetida (L.) Less.";"38700"
"Aquilegia atrata W. D. J. Koch";"38900"
"Aquilegia einseleana F. W. Schultz";"39000"
"Aquilegia vulgaris L.";"39100"
"Arabidopsis thaliana (L.) Heynh.";"39200"
"Arabis alpina L.";"39350"
"Arabis auriculata Lam.";"39600"
"Arabis bellidifolia Crantz";"39650"
"Arabis caerulea All.";"40000"
"Arabis ciliata Clairv.";"40200"
"Arabis collina Ten.";"40300"
"Arabis hirsuta aggr.";"40605"
"Arabis nova Vill.";"41100"
"Arabis procurrens Waldst. & Kit.";"41350"
"Arabis rosea DC.";"41550"
"Arabis scabra All.";"41700"
"Arabis serpillifolia Vill.";"41800"
"Arabis subcoriacea Gren.";"42000"
"Arabis turrita L.";"42100"
"Aralia elata (Miq.) Seem.";"42150"
"Arctium lappa L.";"42200"
"Arctium minus Bernh.";"42300"
"Arctium nemorosum Lej.";"42600"
"Arctium tomentosum Mill.";"42800"
"Arctostaphylos alpina (L.) Spreng.";"43000"
"Arctostaphylos uva-ursi (L.) Spreng.";"43100"
"Aremonia agrimonoides (L.) DC.";"43200"
"Arenaria biflora L.";"43400"
"Arenaria ciliata aggr.";"43505"
"Arenaria grandiflora L.";"43900"
"Arenaria marschlinsii W. D. J. Koch";"44100"
"Arenaria serpyllifolia aggr.";"44305"
"Argyrolobium zanonii (Turra) P. W. Ball";"44500"
"Aristolochia clematitis L.";"44600"
"Aristolochia lutea Desf.";"44650"
"Aristolochia pallida Willd.";"44700"
"Aristolochia rotunda L.";"44800"
"Armeria alpina Willd.";"45150"
"Armeria arenaria (Pers.) Schult.";"45200"
"Armoracia rusticana G. Gaertn. & al.";"45600"
"Arnica montana L.";"45700"
"Arnoseris minima (L.) Schweigg. & Körte";"45800"
"Arrhenatherum elatius (L.) J. Presl & C. Presl";"45900"
"Artemisia eriantha Ten.";"46950"
"Artemisia abrotanum L.";"46000"
"Artemisia absinthium L.";"46100"
"Artemisia alba Turra";"46200"
"Artemisia annua L.";"46300"
"Artemisia atrata Lam.";"46400"
"Artemisia biennis Willd.";"46450"
"Artemisia campestris aggr.";"46780"
"Artemisia chamaemelifolia Vill.";"46800"
"Artemisia dracunculus L.";"46900"
"Artemisia genipi Weber";"47000"
"Artemisia glacialis L.";"47200"
"Artemisia nitida Bertol.";"47400"
"Artemisia nivalis Braun-Blanq.";"47500"
"Artemisia pontica L.";"47600"
"Artemisia umbelliformis Lam.";"47700"
"Artemisia vallesiaca All.";"47800"
"Artemisia verlotiorum Lamotte";"47900"
"Artemisia vulgaris L.";"48000"
"Arum italicum Mill.";"48100"
"Arum maculatum L.";"48200"
"Aruncus dioicus (Walter) Fernald";"48300"
"Arundo donax L.";"48500"
"Asarina procumbens Mill.";"48600"
"Asarum europaeum L.";"48700"
"Asclepias syriaca L.";"48800"
"Asparagus officinalis L.";"48900"
"Asparagus tenuifolius Lam.";"49000"
"Asperugo procumbens L.";"49100"
"Asperula arvensis L.";"49300"
"Asperula cynanchica aggr.";"49410"
"Asperula purpurea (L.) Ehrend.";"49500"
"Asperula taurina L.";"49600"
