"name";"id_in_source"
"Adenostyles alliariae (Gouan) A. Kern. (Grauer Alpendost)";"5400"
"Adenostyles glabra (Mill.) DC. (Grüner Alpendost)";"5500"
"Adenostyles leucophylla (Willd.) Rchb. (Filziger Alpendost)";"5600"
"Adiantum capillus-veneris L. (Venushaar)";"5700"
"Adonis aestivalis aggr.";"1001247"
"Adonis aestivalis L. (Sommer-Blutströpfchen)";"5800"
"Adonis annua aggr.";"1001250"
"Adonis annua L. (Herbst-Blutströpfchen)";"5900"
"Adonis autumnalis L.";"6000"
"Adonis cupaniana";"1001251"
"Adonis flammea Jacq. (Scharlachtrotes Blutströpfchen)";"6100"
"Adonis microcarpa";"1001248"
"Adonis pyrenaica";"1001253"
"Adonis sp.";"1004006"
"Adonis squarrosa";"1001249"
"Adonis vernalis aggr.";"1001252"
"Adonis vernalis L. (Frühlings-Adonis)";"6200"
"Adoxa moschatellina L. (Bisamkraut)";"6300"
"Aegilops cylindrica Host (Walzenförmiger Walch)";"6400"
"Aegilops neglecta";"1001255"
"Aegilops ovata aggr.";"1001254"
"Aegilops ovata L. (Eiförmiger Walch)";"6500"
"Aegilops triuncialis L. (Dreizölliger Walch)";"6600"
"Aegilops ventricosa Tausch (Bauchiger Walch)";"6700"
"Aegopodium podagraria L. (Geissfuss)";"6800"
"Aesculus hippocastanum L. (Rosskastanie)";"6900"
"Aethionema ovalifolium";"1001257"
"Aethionema saxatile (L.) R. Br. (Felsen-Steintäschel)";"7000"
"Aethionema saxatile aggr.";"1001256"
"Aethionema thomasianum J. Gay (Thomas-Steintäschel)";"7100"
"Aethusa cynapioides";"1001259"
"Aethusa cynapium aggr.";"1001258"
"Aethusa cynapium L. (Hundspetersilie)";"7200"
"Agave americana L. (Agave)";"7300"
"Ageratum houstonianum";"1001260"
"Agrimonia eupatoria L. (Gemeiner Odermennig)";"7400"
"Agrimonia odorata auct.";"7500"
"Agrimonia procera Wallr. (Wohlriechender Odermennig)";"7600"
"Agrimonia repens";"1001261"
"Agrimonia sp.";"1003905"
"Agropyron caninum (L.) P. Beauv.";"7700"
"Agropyron cristatum (L.) Gaertn. s.l.";"1001110"
"Agropyron desertorum";"1001263"
"Agropyron intermedium (Host) P. Beauv.";"7800"
"Agropyron litorale Dumort.";"7900"
"Agropyron pectinatum";"1001264"
"Agropyron pectinatum aggr.";"1001262"
"Agropyron pungens auct.";"8000"
"Agropyron repens (L.) P. Beauv.";"8100"
"Agropyron sp.";"1003968"
